Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric",81.500000,-73.700000,0.000000,top
"C2","47µF","C_1206_3216Metric",58.300000,-67.300000,270.000000,top
"C3","100nF","C_0805_2012Metric",64.700000,-58.300000,180.000000,top
"C4","100nF","C_0805_2012Metric",72.800000,-69.300000,270.000000,top
"D1","LED Red","LED_0805_2012Metric",51.900000,-71.200000,0.000000,top
"D2","LED grün","LED_0805_2012Metric",51.700000,-58.100000,0.000000,top
"J4","USB_B_Micro","USB_Micro-B_JLCPCB_40942",54.200000,-64.700000,180.000000,top
"Q1","AO3401A","SOT-23",58.900000,-57.700000,0.000000,top
"R1","100","R_0805_2012Metric",77.700000,-73.730000,0.000000,top
"R2","12k","R_0805_2012Metric",77.200000,-56.800000,0.000000,top
"R3","6.2k","R_0805_2012Metric",73.287500,-56.800000,0.000000,top
"R4","1k","R_0805_2012Metric",69.200000,-56.800000,0.000000,top
"R5","10k","R_0805_2012Metric",58.200000,-61.300000,270.000000,top
"R6","1k","R_0805_2012Metric",55.500000,-71.300000,0.000000,top
"R7","1k","R_0805_2012Metric",61.700000,-57.600000,90.000000,top
"R8","1k","R_0805_2012Metric",55.300000,-58.100000,0.000000,top
"R9","10k","R_0805_2012Metric",70.500000,-69.300000,270.000000,top
"U2","PIC12F1840","SO-8_3.9x4.9mm_P1.27mm_HandSolder",64.500000,-62.300000,0.000000,top
"U3","DS3231M","SOIC-16W_7.5x10.3mm_P1.27mm_HandSolder",79.700000,-66.100000,90.000000,top
